Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2549312,16-Mar-23,Alabama,Piedmont,750 Tom Bible Memorial Hwy,Piedmont High School,0,0,0,0,1
2546792,15-Mar-23,Virginia,Amherst,139 Lancer Ln,Amherst County High School,0,0,0,0,1
2546688,15-Mar-23,Georgia,Evans,550 Blue Ridge Dr,Blue Ridge Elementary School,0,0,0,0,0
2546633,15-Mar-23,Delaware,Georgetown,26026 Patriots Way,Sussex Central High School,0,0,0,0,1
2547033,15-Mar-23,California,San Francisco,241 Oneida Ave,Denman Middle School,0,0,0,0,0
2547057,15-Mar-23,Alabama,Springville,237 Wilson St,Springville Elementary School,0,0,0,0,0
2546083,14-Mar-23,Michigan,Holt,5885 Holt Rd,Holt High School,0,0,0,0,1
2546168,14-Mar-23,Virginia,Norfolk,7101 Granby St,Granby High School,0,0,0,0,1
2545930,14-Mar-23,North Carolina,Kernersville,110 Brown Rd,Kernersville Middle School,0,0,0,0,0
2547097,14-Mar-23,Louisiana,New Orleans,Bundy Rd and Dwyer Rd,N/A,0,0,0,0,2
2545332,13-Mar-23,Virginia,Richmond,3400 Hopkins Rd,Boushall Middle School,0,0,0,0,1
2566202,13-Mar-23,Massachusetts,Southbridge,132 Torry Rd,Southbridge High School,0,0,0,0,2
2543996,11-Mar-23,Maine,Waterville,Pond Rd,Alfond Senior Apartments,0,0,0,0,1
2543339,10-Mar-23,Florida,Vero Beach,1707 16th St,Vero Beach High School,0,0,0,0,1
2543325,10-Mar-23,Maine,Monroe,36 W Main St,Monroe Elementary School,0,0,0,0,1
2542908,9-Mar-23,New Mexico,Albuquerque,2300 Arenal Rd SW,Rio Grande High School,0,0,0,0,0
2546566,9-Mar-23,Wisconsin,Milwaukee,5075 N Sherman Blvd,Barack Obama School of Career and Tech Ed,0,0,0,0,1
2542935,9-Mar-23,Nevada,Las Vegas,6500 E Sahara Ave,Las Vegas High School,0,0,0,0,1
2542901,9-Mar-23,Alabama,Athens,15641 E Limestone Rd,East Limestone High School,0,0,0,0,1
2543468,8-Mar-23,Texas,Texarkana,2100 College Dr,Texas Middle School,0,0,0,0,0
2542906,8-Mar-23,New Mexico,Los Lunas,1776 Emilio Lopez Rd,Los Lunas High School,0,0,0,0,1
2542547,8-Mar-23,Arizona,Chandler,3180 S Gilbert Rd,Legacy Traditional School,0,0,0,0,0
2542545,8-Mar-23,Georgia,Fairburn,7155 Hall Rd,Renaissance Middle School,0,0,0,0,0
2541499,7-Mar-23,Illinois,Rockford,5110 Auburn St,Auburn High School,0,0,0,0,1
2542864,7-Mar-23,Maryland,Glen Burnie,N/A,N/A,0,0,0,0,1
2542086,7-Mar-23,Indiana,Indianapolis,4900 Julian Ave,Old TC Howe High School,1,0,0,0,0
2542499,7-Mar-23,Indiana,Indianapolis (Lawrence),8502 E 82nd St,Mary Castle Elementary School,0,0,0,0,0
2541677,7-Mar-23,Alabama,Rogersville,201 Cedar St,Lauderdale County High School,0,0,0,0,0
2546317,6-Mar-23,Michigan,Saginaw,3675 Southfield Dr,Atkins Middle School,0,0,0,0,1
2540364,6-Mar-23,Virginia,Alexandria,3801 W Braddock Rd,Alexandria City High School,0,0,0,0,1
2540982,6-Mar-23,Iowa,Shenandoah,601 Dr Creighton Cir,Shenandoah Elementary School,0,0,0,0,1
2543457,6-Mar-23,Illinois,Elmwood Park,8201 W Fullerton Ave,Elmwood Park High School,0,0,0,0,1
2540056,6-Mar-23,Michigan,Roseville,16250 Martin Rd,Roseville Middle School,0,1,0,0,1
2540730,6-Mar-23,Minnesota,Minneapolis (Coon Rapids),11600 Raven St NW,Coon Rapids Middle School,0,0,0,0,1
2540590,6-Mar-23,Ohio,Columbus,284 N 22nd St,Champion Middle School,0,0,0,0,1
2540549,6-Mar-23,Kentucky,Owensboro,1300 Booth Ave,Owensboro Middle School,0,0,0,0,1
2541039,5-Mar-23,Georgia,Atlanta,688 Beckwith St SW,Clark Atlanta University,0,0,0,0,0
2538466,3-Mar-23,Ohio,Cleveland,15210 St Clair Ave,Collinwood High School,0,0,0,0,1
2538905,3-Mar-23,Oklahoma,Oklahoma City,715 N Walker Ave,Emerson North Alternative High School,0,0,0,0,1
2538842,3-Mar-23,Florida,Clearwater,3000 FL-580,Countryside High School,0,0,0,0,1
2538840,3-Mar-23,Florida,Saint Petersburg,850 34th St S,Gibbs High School,0,0,0,0,1
2538091,3-Mar-23,South Carolina,Orangeburg,300 College Ave,Hugine Suites,0,1,0,0,0
2538699,3-Mar-23,Arizona,Phoenix,3625 W Cactus Rd,Moon Valley High School,0,0,0,0,1
2539158,3-Mar-23,California,Azusa,240 N Cerritos Ave,Azusa High School,0,0,0,0,2
2542912,3-Mar-23,New Mexico,Los Lunas,1776 Emilio Lopez Rd,Los Lunas High School,0,0,0,0,0
2537614,2-Mar-23,Alabama,Bay Minette,1 Tiger Dr,Baldwin County High School,0,0,0,0,1
2537466,2-Mar-23,North Carolina,Kill Devil Hills,100 Veterans Dr,First Flight High School,0,0,0,0,1
2537460,2-Mar-23,Mississippi,Kiln,7084 Stennis Airport Rd,Hancock High School,0,0,0,0,1
2539312,2-Mar-23,South Carolina,North Charleston,2670 Bonds Ave,Daniel Jenkins Academy,0,0,0,0,1
2537311,2-Mar-23,Georgia,Lagrange,1920 Hamilton Rd,Troup County High School,0,0,0,0,1
2536807,1-Mar-23,Arkansas,Jonesboro,4208 Chieftan Ln,Nettleton Junior High,0,0,0,0,1
2537436,1-Mar-23,Indiana,Terre Haute,310 S 18th St,Davis Park Elementary,0,0,0,0,2
2537458,1-Mar-23,Oregon,Salem,1910 Church St SE,South Salem High School,0,0,0,0,1
2537394,1-Mar-23,Georgia,Warner Robins,401 S Davis Dr,Warner Robins High School,0,0,0,0,0
2537958,1-Mar-23,California,Santa Rosa,6975 Montecito Blvd,Maria Carrillo High School,0,0,0,0,1
2536964,1-Mar-23,Tennessee,Cedar Hill,7025 US-41,Jo Byrns High School,0,0,0,0,0
2535934,28-Feb-23,Ohio,Rocky River,3850 Linden Rd,Lutheran High School West,0,0,0,0,0
2538355,28-Feb-23,Kentucky,Radcliff,100 Trojan Way,North Middle School,0,0,0,0,1
2535790,28-Feb-23,Florida,Tallahassee,550 E Tennessee St,Leon High School,0,0,0,0,1
2537463,28-Feb-23,North Carolina,Greensboro,1200 Lincoln St,James B. Dudley High School,0,0,0,0,0
2536386,28-Feb-23,Texas,Pearland,2201 N Galveston Ave,Leon Sablatura Middle School,0,0,0,0,1
2557186,28-Feb-23,Colorado,Denver,3955 Steele St,Bruce Randolph School,0,0,0,0,1
2536296,28-Feb-23,Georgia,Ringgold,340 Evitt Ln,Ringgold Primary School,0,0,0,0,1
2536087,28-Feb-23,New York,Rochester (Brighton),1000 E Henrietta Rd,Monroe Community College,0,0,0,0,1
2540360,27-Feb-23,North Carolina,Lillington,900 S 11th St,STAR Academy of Lillington,0,0,0,0,1
2536221,27-Feb-23,Utah,Cedar City,166 W 1925 N,Canyon View High School,0,0,0,0,1
2535740,27-Feb-23,Florida,Hollywood,6501 Hollywood Blvd,McArthur High School,0,0,0,0,1
2535733,27-Feb-23,Florida,Jacksonville,10600 Hornets Nest Rd,Mandarin Oaks Elementary School,0,0,0,0,0
2534845,27-Feb-23,Nevada,Fernley,1100 Jasmine Ln,Silverland Middle School,0,0,0,0,1
2536597,27-Feb-23,Alabama,Monroeville,297 S Mt Pleasant Ave,Monroeville Elementary School,0,0,0,0,0
2538050,27-Feb-23,Mississippi,Heidelberg,4035 Co Rd 8,New William J. Berry Elementary School,0,0,0,0,0
2533264,24-Feb-23,Nebraska,Lincoln,1930 S 20th St,Prescott Elementary School,0,0,0,0,1
2533130,24-Feb-23,Colorado,Colorado Springs,7005 N Carefree Cir,Sand Creek High School,0,0,0,0,1
2533040,24-Feb-23,Texas,Nederland,2101 N 18th St,Nederland High School,0,0,0,0,1
2532996,24-Feb-23,Florida,Daytona Beach,580 McLeod Ave,Bethune-Cookman Univ - Moorehead Dorm,0,0,0,0,1
2532968,24-Feb-23,Georgia,Grovetown,2010 Warrior Way,Grovetown High School,0,0,0,0,1
2534185,24-Feb-23,California,Watsonville,500 Harkins Slough Rd,Pajaro Valley High School,0,0,0,0,1
2533257,23-Feb-23,North Carolina,Durham,6806 Garrett Rd,Jordan High School,0,0,0,0,1
2533150,23-Feb-23,Florida,Greenacres,4701 10th Ave N,John I. Leonard High School,0,0,0,0,1
2533085,23-Feb-23,South Carolina,Blythewood,180 S-40-1694,Westwood High School,0,0,0,0,1
2533072,23-Feb-23,North Carolina,Raleigh,2201 Spring Forest Rd,Millbrook Magnet High School,0,0,0,0,1
